Year,avg_temp,five_year_moving_avg,cumulative_five_year_avg
1901,24.81961667,24.77192222,24.81961667
1902,24.67260833,24.73595625,24.7461125
1903,24.82354167,24.629865,24.77192222
1904,24.62805833,24.622465,24.73595625
1905,24.2055,24.61697333,24.629865
1906,24.78261667,24.64175833,24.622465
1907,24.64515,24.71792167,24.61697333
1908,24.94746667,24.786635,24.64175833
1909,25.008875,24.732035,24.71792167
1910,24.54906667,24.73833,24.786635
1911,24.50961667,24.64943167,24.732035
1912,24.676625,24.56124,24.73833
1913,24.502975,24.68579333,24.64943167
1914,24.56791667,24.770365,24.56124
1915,25.17183333,24.73808,24.68579333
1916,24.932475,24.744655,24.770365
1917,24.5152,24.82751167,24.73808
1918,24.53585,24.79374,24.744655
1919,24.9822,24.80966833,24.82751167
1920,25.002975,24.93704667,24.79374
1921,25.01211667,25.04505,24.80966833
1922,25.15209167,25.11175833,24.93704667
1923,25.07586667,24.99590167,25.04505
1924,25.31574167,24.96215833,25.11175833
1925,24.42369167,24.884025,24.99590167
1926,24.8434,24.89274833,24.96215833
1927,24.761425,24.80029833,24.884025
1928,25.11948333,24.87427167,24.89274833
1929,24.85349167,24.94112833,24.80029833
1930,24.79355833,25.01541833,24.87427167
1931,25.17768333,24.953025,24.94112833
1932,25.132875,24.96726333,25.01541833
1933,24.80751667,25.04309167,24.953025
1934,24.92468333,25.004995,24.96726333
1935,25.1727,24.96291333,25.04309167
1936,24.9872,25.02407667,25.004995
1937,24.92246667,25.08332,24.96291333
1938,25.11333333,25.05693667,25.02407667
1939,25.2209,25.129515,25.08332
1940,25.04078333,25.216545,25.05693667
1941,25.35009167,25.19733,25.129515
1942,25.35761667,25.20221667,25.216545
1943,25.01725833,25.20074333,25.19733
1944,25.24533333,25.16711,25.20221667
1945,25.03341667,25.156965,25.20074333
1946,25.181925,25.13202,25.16711
1947,25.30689167,24.99106333,25.156965
1948,24.89253333,24.96228333,25.13202
1949,24.54055,24.95732,24.99106333
1950,24.88951667,24.90626167,24.96228333
1951,25.15710833,24.96958833,24.95732
1952,25.0516,25.07199833,24.90626167
1953,25.20916667,25.08390333,24.96958833
1954,25.0526,25.037465,25.07199833
1955,24.94904167,25.05764833,25.08390333
1956,24.92491667,25.16436333,25.037465
1957,25.15251667,25.13638667,25.05764833
1958,25.74274167,25.215815,25.16436333
1959,24.91271667,25.226485,25.13638667
1960,25.34618333,25.19204667,25.215815
1961,24.97826667,25.05708,25.226485
1962,24.980325,25.12378667,25.19204667
1963,25.06790833,25.04192667,25.05708
1964,25.24625,25.10592833,25.12378667
1965,24.93688333,25.06837333,25.04192667
1966,25.298275,25.02434,25.10592833
1967,24.79255,25.010965,25.06837333
1968,24.84774167,25.03917167,25.02434
1969,25.179375,24.87384667,25.010965
1970,25.07791667,24.91878167,25.03917167
1971,24.47165,24.96549167,24.87384667
1972,25.017225,24.88891167,24.91878167
1973,25.08129167,24.86665833,24.96549167
1974,24.796475,24.98864333,24.88891167
1975,24.96665,24.94697667,24.86665833
1976,25.081575,24.906025,24.98864333
1977,24.80889167,25.06992833,24.94697667
1978,24.87653333,25.125215,24.906025
1979,25.61599167,25.080455,25.06992833
1980,25.24308333,25.12083,25.125215
1981,24.857775,25.147715,25.080455
1982,25.01076667,25.03617667,25.12083
1983,25.01095833,25.05514,25.147715
1984,25.0583,25.127605,25.03617667
1985,25.3379,25.24202333,25.05514
1986,25.2201,25.37341167,25.127605
1987,25.58285833,25.41769667,25.24202333
1988,25.6679,25.401705,25.37341167
1989,25.279725,25.340375,25.41769667
1990,25.25794167,25.17524167,25.401705
1991,24.91345,24.99130833,25.340375
1992,24.75719167,24.95414333,25.17524167
1993,24.74823333,24.98380333,24.99130833
1994,25.0939,25.06364833,24.95414333
1995,25.40624167,25.08190333,24.98380333
1996,25.312675,25.23855667,25.06364833
1997,24.84846667,25.36816333,25.08190333
1998,25.5315,25.26407333,25.23855667
1999,25.74193333,25.328995,25.36816333
2000,24.88579167,25.4433,25.26407333
2001,25.63728333,25.412085,25.328995
2002,25.41999167,25.35514833,25.4433
2003,25.375425,25.50352167,25.412085
2004,25.45725,25.57558,25.35514833
2005,25.62765833,25.61855333,25.50352167
2006,25.997575,25.64443667,25.57558
2007,25.63485833,25.79739667,25.61855333
2008,25.50484167,25.89441833,25.64443667
2009,26.22205,25.78780167,25.79739667
2010,26.11276667,25.656585,25.89441833
2011,25.46449167,25.53434,25.78780167
2012,24.978775,25.26364167,25.656585
2013,24.89361667,25.01827667,25.53434
2014,24.86855833,24.90672292,25.26364167
2015,24.88594167,24.88270556,25.01827667