Year,avg_rainfall,min_rainfall,max_rainfall,total_rainfall
1901,202.7349542,1.69035,540.907,2432.81945
1902,195.4761967,0.14722,528.775,2345.71436
1903,188.1156083,0.0104,606.088,2257.3873
1904,204.17244,0.3257,707.404,2450.06928
1905,233.859435,4.91701,624.073,2806.31322
1906,172.8214017,0.01352,487.922,2073.85682
1907,163.08462,9.41034,549.54,1957.01544
1908,217.117865,0.06706,786.245,2605.41438
1909,199.2657475,0.05684,732.781,2391.18897
1910,213.1586817,0.04428,767.513,2557.90418
1911,242.6692175,0.00822,737.185,2912.03061
1912,193.8438808,2.25106,468.194,2326.12657
1913,253.5223,1.3331,766.414,3042.2676
1914,200.8975642,0.29132,624.896,2410.77077
1915,234.7201367,0.92268,644.838,2816.64164
1916,219.305675,0.81033,603.185,2631.6681
1917,217.0064667,0.08277,570.203,2604.0776
1918,200.7217933,0.83205,583.023,2408.66152
1919,227.633675,1.20948,806.554,2731.6041
1920,194.6727975,0.70148,519.612,2336.07357
1921,204.126555,1.9763,563.936,2449.51866
1922,238.5436042,2.50415,658.105,2862.52325
1923,184.6141433,0.2034,741.587,2215.36972
1924,238.5373275,0.42203,683.449,2862.44793
1925,221.6519867,0.20418,670.233,2659.82384
1926,195.3275483,8.2562,796.267,2343.93058
1927,222.3629667,0,675.394,2668.3556
1928,220.7579908,0.49404,589.271,2649.09589
1929,206.5712408,3.23819,611.303,2478.85489
1930,191.4018542,1.11792,701.185,2296.82225
1931,176.3176692,2.36234,461.884,2115.81203
1932,211.5568167,1.61393,589.857,2538.6818
1933,197.9525167,2.62996,610.431,2375.4302
1934,233.7164242,7.33182,747.339,2804.59709
1935,182.0874267,2.27944,633.872,2185.04912
1936,220.6129067,5.30771,570.408,2647.35488
1937,187.9600825,0.0265,501.751,2255.52099
1938,236.7400733,0.16198,717.301,2840.88088
1939,213.9294375,1.57736,609.832,2567.15325
1940,216.0202742,0.09005,651.6,2592.24329
1941,249.2721483,3.15451,783.675,2991.26578
1942,196.6024233,0.1343,661.474,2359.22908
1943,210.3810058,0.82889,522.932,2524.57207
1944,170.6952483,0.35446,460.273,2048.34298
1945,194.254185,0.81369,451.998,2331.05022
1946,226.5293233,0.08892,538.033,2718.35188
1947,237.7222608,1.08203,631.931,2852.66713
1948,214.8157658,0.34566,504.491,2577.78919
1949,238.22335,0.24329,575.004,2858.6802
1950,198.38688,0.81345,562.629,2380.64256
1951,211.6787633,0.0057,639.217,2540.14516
1952,227.9328292,1.43815,603.285,2735.19395
1953,221.9661933,0.75467,652.124,2663.59432
1954,199.87274,0.14087,683.143,2398.47288
1955,202.776875,0.82756,548.997,2433.3225
1956,222.26908,4.08725,595.058,2667.22896
1957,154.1909875,0.52471,527.145,1850.29185
1958,162.8757692,2.76849,476.307,1954.50923
1959,239.1447125,0.19915,553.256,2869.73655
1960,188.2141417,0.03981,669.317,2258.5697
1961,207.7735525,0.60981,972.536,2493.28263
1962,178.3433767,0.1717,509.042,2140.12052
1963,189.5993333,0.58449,572.234,2275.192
1964,209.8248533,0.15303,569.584,2517.89824
1965,197.0802558,0.27337,602.78,2364.96307
1966,177.74404,0.87698,456.18,2132.92848
1967,181.0199033,0.45729,511.037,2172.23884
1968,210.3390867,1.31776,800.141,2524.06904
1969,191.1505842,0.59785,543.448,2293.80701
1970,222.6004208,0.05075,636.673,2671.20505
1971,176.3812883,0.2358,517.82,2116.57546
1972,143.4134142,0.02066,424.779,1720.96097
1973,215.2439858,4.79803,492.833,2582.92783
1974,226.5737933,0.04505,780.355,2718.88552
1975,188.883675,0.85572,682.34,2266.6041
1976,194.5551283,1.18694,652.306,2334.66154
1977,198.3640408,3.89109,514.169,2380.36849
1978,191.31483,0.58537,488.343,2295.77796
1979,194.128475,11.8392,536.167,2329.5417
1980,184.5824133,0.85529,516.119,2214.98896
1981,219.8363017,1.09602,679.557,2638.03562
1982,179.3317858,0.37417,544.534,2151.98143
1983,222.7971333,11.3977,484.295,2673.5656
1984,244.9838908,4.05208,715.063,2939.80669
1985,190.0600458,5.6936,498.385,2280.72055
1986,203.78426,2.43015,571.737,2445.41112
1987,223.5880292,3.04431,634.122,2683.05635
1988,234.882055,0.87756,546.468,2818.58466
1989,171.5026817,2.88141,480.33,2058.03218
1990,220.5226292,1.02665,522.194,2646.27155
1991,224.4579667,15.5629,514.93,2693.4956
1992,148.7115183,2.99477,462.745,1784.53822
1993,222.1574167,0.01082,519.834,2665.889
1994,151.6105617,0.14889,373.326,1819.32674
1995,200.8412175,1.21624,585.233,2410.09461
1996,185.9647925,0.41104,436.68,2231.57751
1997,190.7071125,9.95175,525.725,2288.48535
1998,218.1898758,0.02981,651.001,2618.27851
1999,216.8646075,0.10675,800.869,2602.37529
2000,202.1598242,0.21109,439.359,2425.91789
2001,187.338,0.00843,437.875,2248.056
2002,210.9921775,0.62698,622.822,2531.90613
2003,197.7574492,4.05949,747.537,2373.08939
2004,181.6969342,3.20108,539.037,2180.36321
2005,159.8205917,2.564,409.154,1917.8471
2006,173.3806583,0.00249,428.041,2080.5679
2007,258.3078117,0.10678,898.072,3099.69374
2008,180.3876975,2.27446,588.575,2164.65237
2009,173.0767667,0.65574,558.314,2076.9212
2010,195.6788925,0.02014,451.158,2348.14671
2011,233.1747342,0.95423,1012.02,2798.09681
2012,177.428295,2.89884,494.22,2129.13954
2013,180.089055,0.00089,473.361,2161.06866
2014,160.281175,0.1202,481.268,1923.3741
2015,212.0002325,4.60815,715.223,2544.00279