Year,avg_temperature,min_temperature,max_temperature
1901,24.81961667,16.976,28.8925
1902,24.67260833,18.2532,28.266
1903,24.82354167,17.7023,28.6851
1904,24.62805833,17.7866,27.9551
1905,24.2055,17,29.0868
1906,24.78261667,17.5423,28.4449
1907,24.64515,18.6971,28.1978
1908,24.94746667,17.2889,29.3307
1909,25.008875,18.6933,28.3398
1910,24.54906667,17.7787,28.2254
1911,24.50961667,17.7475,28.14
1912,24.676625,18.2763,28.3068
1913,24.502975,18.1365,28.0541
1914,24.56791667,17.9978,28.0274
1915,25.17183333,18.8711,28.1829
1916,24.932475,17.8694,28.9475
1917,24.5152,17.4937,27.8983
1918,24.53585,17.1998,28.2649
1919,24.9822,18.9095,28.3777
1920,25.002975,18.7317,28.6608
1921,25.01211667,19.0034,28.8115
1922,25.15209167,18.621,28.8271
1923,25.07586667,18.6312,28.7014
1924,25.31574167,18.4881,29.0303
1925,24.42369167,16.9382,28.0744
1926,24.8434,18.0436,28.874
1927,24.761425,18.0251,28.3215
1928,25.11948333,18.5036,28.4182
1929,24.85349167,18.3725,28.3855
1930,24.79355833,17.1308,28.2023
1931,25.17768333,19.2912,28.8507
1932,25.132875,18.7903,28.2926
1933,24.80751667,17.267,28.0191
1934,24.92468333,17.9754,28.4278
1935,25.1727,17.6546,29.3369
1936,24.9872,17.6556,28.2978
1937,24.92246667,17.1468,28.5889
1938,25.11333333,18.9308,29.1067
1939,25.2209,18.9613,28.8783
1940,25.04078333,17.8246,28.3484
1941,25.35009167,18.4257,28.4779
1942,25.35761667,18.5173,28.9374
1943,25.01725833,19.4068,28.1733
1944,25.24533333,18.4048,29.1642
1945,25.03341667,18.2015,28.6697
1946,25.181925,18.7904,28.3153
1947,25.30689167,18.4592,28.6075
1948,24.89253333,18.6645,28.3304
1949,24.54055,17.6854,27.9464
1950,24.88951667,18.5486,28.4808
1951,25.15710833,17.7884,28.3824
1952,25.0516,18.9548,28.4238
1953,25.20916667,17.715,28.252
1954,25.0526,17.2898,29.126
1955,24.94904167,17.988,28.6394
1956,24.92491667,18.2806,28.0995
1957,25.15251667,18.6476,29.2739
1958,25.74274167,19.7673,29.4177
1959,24.91271667,18.5213,28.2968
1960,25.34618333,18.0893,29.2217
1961,24.97826667,17.5351,28.555
1962,24.980325,17.0844,28.6468
1963,25.06790833,17.7822,28.4266
1964,25.24625,17.9709,28.2793
1965,24.93688333,18.6764,28.676
1966,25.298275,18.4824,29.1766
1967,24.79255,18.6105,28.1967
1968,24.84774167,17.9779,28.4405
1969,25.179375,17.8455,28.6643
1970,25.07791667,17.8687,28.8184
1971,24.47165,18.1881,27.8165
1972,25.017225,18.6849,29.0864
1973,25.08129167,18.8691,28.5821
1974,24.796475,17.631,27.9089
1975,24.96665,18.0454,28.3837
1976,25.081575,18.3264,27.8908
1977,24.80889167,17.9541,28.3048
1978,24.87653333,16.8006,28.6085
1979,25.61599167,19.1725,29.526
1980,25.24308333,18.2739,28.7934
1981,24.857775,18.3163,28.551
1982,25.01076667,18.8501,28.9711
1983,25.01095833,18.0039,28.7935
1984,25.0583,17.7947,28.2474
1985,25.3379,18.8171,28.3917
1986,25.2201,18.8875,28.897
1987,25.58285833,18.9032,29.253
1988,25.6679,19.2634,28.5791
1989,25.279725,17.5061,29.0168
1990,25.25794167,19.473,28.5531
1991,24.91345,17.4518,28.1626
1992,24.75719167,17.4191,28.3549
1993,24.74823333,18.1609,27.8916
1994,25.0939,18.7418,28.5911
1995,25.40624167,17.7492,29.2967
1996,25.312675,18.5789,28.6148
1997,24.84846667,17.9503,28.2508
1998,25.5315,17.7704,29.2008
1999,25.74193333,18.9055,29.5091
2000,24.88579167,17.8553,28.2621
2001,25.63728333,19.1684,28.6358
2002,25.41999167,18.7662,28.2914
2003,25.375425,17.9398,28.8776
2004,25.45725,18.2838,29.1106
2005,25.62765833,18.7742,29.1435
2006,25.997575,19.4921,28.6736
2007,25.63485833,19.093,28.8106
2008,25.50484167,19.1005,28.5943
2009,26.22205,20.2116,29.1815
2010,26.11276667,18.6795,29.1543
2011,25.46449167,18.0523,28.5389
2012,24.978775,16.8493,28.7705
2013,24.89361667,17.7546,28.894
2014,24.86855833,17.1088,28.7169
2015,24.88594167,17.8343,28.3603